releaseYear,genre,mean_rating,numVotes,unique_titles_count
2004,Sport,8.1,748152,1
2004,Thriller,8.0,839700,1
2004,War,8.0,63481,2
2005,Action,8.477777777777778,4199262,9
2005,Adventure,8.9,665931,2
2005,Animation,8.75,480665,4
2005,Biography,7.95,215512,2
2005,Comedy,8.466666666666667,2167933,12
2005,Crime,8.1625,3492056,8
2005,Documentary,8.125,54108,4
2005,Drama,8.242105263157894,6087518,19
2005,Family,8.2,97748,1
2005,Fantasy,8.45,529026,2
2005,History,8.0,10386,1
2005,Horror,8.4,513530,1
2005,Music,8.1,35230,3
2005,Mystery,8.1,231316,1
2005,News,8.4,39396,1
2005,Romance,8.333333333333334,1161030,3
2005,Sci-Fi,8.3,1475451,2
2005,Sport,8.1,18100,1
2005,Talk-Show,8.4,51126,2
2005,Thriller,8.0,808858,1
2005,War,8.0,10386,1
2006,Action,8.225,956990,8
2006,Adventure,8.033333333333333,1352071,3
2006,Animation,8.440000000000001,581034,5
2006,Biography,8.0,593837,1
2006,Comedy,8.208333333333334,1255373,12
2006,Crime,8.325000000000001,3157452,12
2006,Documentary,8.65,238932,2
2006,Drama,8.273913043478261,8287439,23
2006,Family,9.4,227819,1
2006,Fantasy,8.166666666666666,789885,3
2006,Music,8.3,18713,1
2006,Mystery,8.371428571428572,2999039,7
2006,Reality-TV,8.1,23613,1
2006,Romance,8.15,98492,4
2006,Sci-Fi,8.2,2069275,2
2006,Sport,8.7,76247,1
2006,Thriller,8.2,3858856,8
2006,War,8.2,726680,1
2007,Action,8.129999999999999,1888651,10
2007,Adventure,8.2,1886324,7
2007,Animation,8.2,1342905,9
2007,Biography,7.959999999999999,1406962,5
2007,Comedy,8.20625,3012805,16
2007,Crime,8.088888888888889,1921488,9
2007,Documentary,7.966666666666666,130789,3
2007,Drama,8.151612903225805,4985279,31
2007,Family,8.3,362157,5
2007,Fantasy,8.4,60942,1
2007,Game-Show,8.2,10461,1
2007,History,8.1,84663,1
2007,Music,8.45,82162,2
2007,Musical,8.5,68345,1
2007,Mystery,8.120000000000001,1325381,5
2007,Romance,8.075,1083727,4
2007,Short,8.2,10668,1
