id,title,genres,averageRating,numVotes,releaseYear
tt5189670,Making a Murderer,"Crime, Documentary",8.5,106090,2015
tt0112159,Neon Genesis Evangelion,"Action, Animation, Drama",8.5,98426,1995
tt6077448,Sacred Games,"Action, Crime, Drama",8.5,95444,2018
tt3502248,Bosch,"Crime, Drama",8.5,89878,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,87368,2022
tt1492966,Louie,"Comedy, Drama",8.5,84225,2010
tt4093826,Twin Peaks,"Crime, Drama, Horror",8.5,83496,2017
tt0314979,Battlestar Galactica,"Action, Adventure, Drama",8.5,83183,2003
tt0421357,Fullmetal Alchemist,"Action, Adventure, Animation",8.5,82382,2003
tt0088509,Dragon Ball,"Action, Adventure, Animation",8.5,72455,1986
tt0280249,Dragon Ball,"Action, Adventure, Animation",8.5,70780,1995
tt3428912,Happy Valley,"Crime, Drama, Thriller",8.5,69739,2014
tt7120662,Derry Girls,Comedy,8.5,69282,2018
tt11912196,Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery",8.5,68448,2020
tt0863046,Flight of the Conchords,"Comedy, Music, Musical",8.5,68345,2007
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,67054,1972
tt0278238,Samurai Jack,"Action, Adventure, Animation",8.5,63675,2001
tt0423731,Samurai Champloo,"Action, Adventure, Animation",8.5,60008,2004
tt0187664,Spaced,Comedy,8.5,59631,1999
tt8289930,Formula 1: Drive to Survive,"Documentary, Sport",8.5,56450,2019
tt5897304,Mob Psycho 100,"Action, Animation, Comedy",8.5,56262,2016
tt0275137,Justice League,"Action, Adventure, Animation",8.5,54948,2001
tt0290988,Trailer Park Boys,"Comedy, Crime",8.5,54910,2001
tt2937900,The Knick,"Drama, History",8.5,54669,2014
tt0402711,Boston Legal,"Comedy, Crime, Drama",8.5,51900,2004
tt2100976,Impractical Jokers,"Comedy, Reality-TV",8.5,49328,2011
tt0237123,Coupling,"Comedy, Romance",8.5,49302,2000
tt0163507,Whose Line Is It Anyway?,"Comedy, Game-Show",8.5,48094,1998
tt3895150,Your Lie in April,"Animation, Comedy, Drama",8.5,44387,2014
tt2359704,JoJo's Bizarre Adventure,"Action, Adventure, Animation",8.5,43742,2012
tt0373732,The Boondocks,"Action, Animation, Comedy",8.5,38671,2005
tt0417349,North & South,"Drama, Romance",8.5,36847,2004
tt10802170,The Rehearsal,"Comedy, Documentary",8.5,31628,2022
tt1526318,Borgen,Drama,8.5,31389,2010
tt12714854,Mumbai Diaries,"Drama, Thriller",8.5,31171,2021
tt1299368,Southland,"Crime, Drama, Thriller",8.5,30165,2009
tt0043208,I Love Lucy,Comedy,8.5,30083,1951
tt9398466,Delhi Crime,"Crime, Drama",8.5,27732,2019
tt16296870,The Railway Men,"Drama, History, Thriller",8.5,26683,2023
tt0075520,Jesus of Nazareth,"Biography, Drama, History",8.5,26468,1977
tt1353056,RuPaul's Drag Race,"Game-Show, Reality-TV",8.5,24734,2009
tt9522300,Kaguya-sama: Love is War,"Animation, Comedy, Romance",8.5,24514,2019
tt0088727,Anne of Green Gables,"Drama, Family",8.5,23722,1985
tt0262985,Queer as Folk,"Drama, Romance",8.5,23304,2000
tt2244495,The Eric Andre Show,"Comedy, Talk-Show",8.5,23253,2012
tt2674806,Inside No. 9,"Comedy, Crime, Drama",8.5,22523,2014
tt11407524,Hostel Daze,"Comedy, Drama",8.5,22111,2019
tt7259746,Queer Eye,Reality-TV,8.5,21859,2018
tt0346314,Ghost in the Shell: Stand Alone Complex,"Action, Animation, Crime",8.5,21784,2002
tt12074628,Smiling Friends,"Animation, Comedy, Short",8.5,21646,2020
tt0182629,Rurouni Kenshin,"Action, Adventure, Animation",8.5,21328,1996
tt0397150,Garth Marenghi's Darkplace,"Comedy, Fantasy, Horror",8.5,21021,2004
tt6005644,TVF Tripling,"Comedy, Drama",8.5,20973,2016
tt3673794,Kingdom,"Drama, Sport",8.5,20434,2014
tt2155025,Please Like Me,"Comedy, Drama, Romance",8.5,20234,2013
tt0047708,Alfred Hitchcock Presents,"Crime, Drama, Mystery",8.5,20080,1955
tt0493331,Barareh Nights,Comedy,8.5,19444,2005
tt26225038,Death's Game,"Drama, Fantasy",8.5,19231,2023
tt5425186,Horace and Pete,"Comedy, Drama",8.5,17962,2016
tt0070644,Scenes from a Marriage,Drama,8.5,17609,1973
